[?1034hType                                  Module                 Label             Process   
vector<ROOT::Math::LorentzVector<ROOT::Math::PtEtaPhiM4D<double> > >    "jhuCa8"               "UnprunedCA8sub1CUSTak"   "jhu"     
vector<ROOT::Math::LorentzVector<ROOT::Math::PtEtaPhiM4D<double> > >    "jhuCa8"               "UnprunedCA8sub1CUSTkt"   "jhu"     
vector<ROOT::Math::LorentzVector<ROOT::Math::PtEtaPhiM4D<double> > >    "jhuCa8"               "UnprunedCA8sub1exkt"   "jhu"     
vector<ROOT::Math::LorentzVector<ROOT::Math::PtEtaPhiM4D<double> > >    "jhuCa8"               "UnprunedCA8sub2"   "jhu"     
vector<ROOT::Math::LorentzVector<ROOT::Math::PtEtaPhiM4D<double> > >    "jhuCa8"               "UnprunedCA8sub2CORR"   "jhu"     
vector<ROOT::Math::LorentzVector<ROOT::Math::PtEtaPhiM4D<double> > >    "jhuCa8"               "UnprunedCA8sub2CUSTak"   "jhu"     
vector<ROOT::Math::LorentzVector<ROOT::Math::PtEtaPhiM4D<double> > >    "jhuCa8"               "UnprunedCA8sub2CUSTkt"   "jhu"     
vector<ROOT::Math::LorentzVector<ROOT::Math::PtEtaPhiM4D<double> > >    "jhuCa8"               "UnprunedCA8sub2exkt"   "jhu"     
vector<ROOT::Math::LorentzVector<ROOT::Math::PtEtaPhiM4D<double> > >    "jhuCa8"               "UnprunedCA8sub3"   "jhu"     
vector<ROOT::Math::LorentzVector<ROOT::Math::PtEtaPhiM4D<double> > >    "jhuCa8"               "UnprunedCA8sub3CORR"   "jhu"     
vector<ROOT::Math::LorentzVector<ROOT::Math::PtEtaPhiM4D<double> > >    "jhuCa8"               "UnprunedCA8sub3CUSTak"   "jhu"     
vector<ROOT::Math::LorentzVector<ROOT::Math::PtEtaPhiM4D<double> > >    "jhuCa8"               "UnprunedCA8sub3CUSTkt"   "jhu"     
vector<ROOT::Math::LorentzVector<ROOT::Math::PtEtaPhiM4D<double> > >    "jhuCa8"               "UnprunedCA8sub3exkt"   "jhu"     
vector<ROOT::Math::LorentzVector<ROOT::Math::PtEtaPhiM4D<double> > >    "jhuElePFlow"          "electron"        "jhu"     
